"","breed","outcome_subtype","outcome_type","sex","Spay.Neuter","age.at.outcome","age_group","dob_year","dob_month","dob_monthyear","outcome_month","outcome_year","outcome_weekday","outcome_hour","cfa_breed","domestic_breed","coat_pattern","color1","color2","coat","is.kitten","adopted"
"1","domestic shorthair","","Adoption","Female",FALSE,0.082191781,"(-0.022, 2.2]",2014,6,"2014-08","8",2014,"Thursday",18,FALSE,TRUE,"tabby","blue","white","blue ",TRUE,TRUE
"2","domestic shorthair","Offsite","Adoption","Female",TRUE,0.246575342,"(-0.022, 2.2]",2014,3,"2014-06","6",2014,"Sunday",17,FALSE,TRUE,"solid","white","black","white",TRUE,TRUE
"3","domestic shorthair","","Adoption","Female",TRUE,0.164383562,"(-0.022, 2.2]",2014,6,"2014-08","8",2014,"Wednesday",15,FALSE,TRUE,"tabby","brown","","brown",TRUE,TRUE
"4","domestic shorthair","","Adoption","Male",TRUE,0.410958904,"(-0.022, 2.2]",2014,3,"2014-08","8",2014,"Sunday",15,FALSE,TRUE,"tabby","black","","black",TRUE,TRUE
"5","domestic shorthair","Foster","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2014,8,"2014-10","10",2014,"Friday",18,FALSE,TRUE,"tabby","orange","","orange",TRUE,TRUE
"6","domestic shorthair","","Adoption","Female",TRUE,0.164383562,"(-0.022, 2.2]",2014,4,"2014-07","7",2014,"Thursday",17,FALSE,TRUE,"torbie","other","","torbie",TRUE,TRUE
"7","domestic shorthair","","Adoption","Female",TRUE,0.246575342,"(-0.022, 2.2]",2014,4,"2014-07","7",2014,"Saturday",17,FALSE,TRUE,"solid","black","","black",TRUE,TRUE
"8","russian blue","","Adoption","Female",TRUE,4,"(2.2, 4.4]",2010,6,"2014-07","7",2014,"Saturday",15,TRUE,FALSE,"solid","blue","","blue",FALSE,TRUE
"9","russian blue","Foster","Adoption","Male",TRUE,7,"(6.6, 8.8]",2007,7,"2014-08","8",2014,"Tuesday",15,TRUE,FALSE,"solid","blue","","blue",FALSE,TRUE
"10","domestic shorthair","","Adoption","Female",TRUE,1,"(-0.022, 2.2]",2013,1,"2014-01","1",2014,"Sunday",12,FALSE,TRUE,"torbie","other","","torbie",FALSE,TRUE
"11","domestic shorthair","","Adoption","Female",TRUE,0.164383562,"(-0.022, 2.2]",2014,9,"2014-11","11",2014,"Saturday",15,FALSE,TRUE,"tabby","brown","","brown",TRUE,TRUE
"12","domestic shorthair","Foster","Adoption","Female",TRUE,0.246575342,"(-0.022, 2.2]",2014,3,"2014-06","6",2014,"Tuesday",15,FALSE,TRUE,"tabby","brown","","brown",TRUE,TRUE
"13","domestic shorthair","","Adoption","Male",TRUE,0.328767123,"(-0.022, 2.2]",2013,6,"2013-10","10",2013,"Thursday",16,FALSE,TRUE,"solid","black","","black",TRUE,TRUE
"14","domestic longhair","Foster","Adoption","Female",TRUE,0.164383562,"(-0.022, 2.2]",2014,10,"2014-12","12",2014,"Saturday",14,FALSE,TRUE,"tabby","brown","","brown",TRUE,TRUE
